tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
380,28:48.9,35:09.0,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,380,Mass Ave at Albany St,42.36135838,-71.09670274,5936,Subscriber,1992,2
484,11:00.7,19:05.2,412,Washington St at Peters Park,42.34303291,-71.0668873,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,5985,Subscriber,1989,2
1213,21:37.7,41:50.7,374,Tremont St at Hamilton Pl,42.35668335,-71.06166646,374,Tremont St at Hamilton Pl,42.35668335,-71.06166646,6093,Subscriber,1994,1
321,27:54.5,33:16.2,179,MIT Vassar St,42.35560121,-71.10394478,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,5006,Subscriber,1973,2
175,45:06.7,48:02.0,100,Davis Square,42.396969,-71.123024,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,2839,Subscriber,1987,1
543,20:33.8,29:37.7,100,Davis Square,42.396969,-71.123024,137,Magoun Square at Trum Field,42.398365,-71.107818,3360,Subscriber,1979,1
426,16:27.6,23:34.3,222,Troy Boston,42.343749,-71.062256,374,Tremont St at Hamilton Pl,42.35668335,-71.06166646,5557,Subscriber,1991,1
807,04:09.6,17:37.3,235,East Somerville Library (Broadway and Illinois),42.38762811,-71.08318716,85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,3012,Subscriber,1995,2
261,06:42.2,11:03.3,177,University Park,42.36264779,-71.10006094,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,5286,Subscriber,1997,2
1045,31:21.7,48:47.5,55,Boylston St at Massachusetts Ave,42.347265,-71.088088,332,Harvard Ave at Brainerd Rd,42.34953017,-71.13022771,5460,Subscriber,1996,1
1102,23:52.3,42:14.6,21,Prudential Center - Belvedere St,42.34652004,-71.08065777,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,4702,Subscriber,1958,1
464,55:28.0,03:12.1,43,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,3337,Subscriber,1974,1
1376,18:27.9,41:24.2,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,64,Congress St at Sleeper St,42.3510045,-71.04930013,6064,Subscriber,1995,1
1142,08:54.2,27:57.0,378,191 Beacon St,42.38032335,-71.10878613,206,Government Center - Cambridge St at Court St,42.35980252,-71.05960783,3696,Customer,1992,1
1176,37:47.4,57:24.1,329,Washington St at Myrtle St,42.380998,-71.08721308,6,Cambridge St at Joy St,42.36121165,-71.0653062,2680,Subscriber,1987,0
419,20:14.8,27:14.5,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586,-71.04569256,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,3574,Subscriber,1993,2
603,28:47.4,38:50.8,107,Ames St at Main St,42.3625,-71.08822,55,Boylston St at Massachusetts Ave,42.347265,-71.088088,2525,Subscriber,1982,2
257,08:19.8,12:37.1,21,Prudential Center - Belvedere St,42.34652004,-71.08065777,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,5752,Subscriber,1988,2
1371,48:40.2,11:31.7,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,4479,Subscriber,1979,1
337,59:07.3,04:45.3,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586,-71.04569256,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176,-71.05142981,4015,Subscriber,1995,1
2248,07:50.7,45:19.3,403,Marion St at Harvard St,42.33978053,-71.1213335,121,W Broadway at Dorchester St,42.33595898,-71.046229,5443,Customer,1991,1
652,24:56.6,35:49.1,369,Boston Public Market,42.36254854,-71.05737358,136,ID Building West,42.344796,-71.031614,5109,Subscriber,1987,1
303,57:27.9,02:31.4,386,Sennott Park  Broadway at Norfolk Street,42.36860524,-71.09930186,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,4421,Subscriber,1976,1
848,23:26.2,37:34.8,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309,-71.10393405,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,3389,Subscriber,1992,1
468,28:26.4,36:14.5,48,Post Office Square,42.35585436,-71.05459746,120,Beacon St at Charles St,42.356052,-71.069849,5030,Subscriber,1959,1
1155,23:56.7,43:12.2,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,78,Union Square - Somerville,42.37967148,-71.0954931,2900,Subscriber,1988,1
506,00:17.5,08:44.3,117,Binney St / Sixth St,42.36608797,-71.08633604,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,3286,Customer,1990,1
343,16:48.1,22:31.2,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,4371,Subscriber,1992,2
990,47:20.4,03:50.4,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,404,Mass Ave T Station,42.34135616,-71.08336953,2587,Subscriber,1988,2
336,03:16.7,08:53.0,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512,-71.10061884,5,Northeastern University - North Parking Lot,42.341814,-71.090179,3219,Subscriber,1998,2
1396,18:49.7,42:05.9,403,Marion St at Harvard St,42.33978053,-71.1213335,403,Marion St at Harvard St,42.33978053,-71.1213335,5128,Subscriber,1996,2
647,25:55.5,36:43.1,43,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,363,Harrison Ave at Mullins Way,42.34521562,-71.06384031,2498,Subscriber,1962,1
988,54:00.2,10:28.7,98,Warren St at Chelsea St,42.371848,-71.060292,384,Clarendon St at Newbury St,42.35155308,-71.07569031,3811,Subscriber,1969,1
929,05:09.9,20:38.9,53,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,54,Tremont St at West St,42.354979,-71.063348,5027,Subscriber,1992,1
617,14:29.9,24:47.5,60,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,5057,Subscriber,1991,2
538,06:36.1,15:34.5,189,Kendall T,42.36242784,-71.08495474,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,2408,Subscriber,1981,2
1569,00:21.1,26:30.5,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,36,Copley Square - Dartmouth St at Boylston St,42.34992828,-71.07739207,3532,Customer,1966,1
121,40:49.4,42:50.8,117,Binney St / Sixth St,42.36608797,-71.08633604,107,Ames St at Main St,42.3625,-71.08822,3865,Subscriber,1997,1
167,13:40.1,16:27.1,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,9,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,2086,Subscriber,1997,1
